;Preco;Marca;Nome;Modelo;Km;Ano;Estado;Regiao;Loja
472;84.999;Fiat;Strada;Endurance Cs;45.144;2021;SC;Florianópolis;Vazio
473;59.999;Fiat;Strada;Adventure Flex Estendida;108.308;2015;SC;Florianópolis;Vazio
474;64.999;Fiat;Fiorino;Hard Working E;126.653;2017;SC;Florianópolis;Vazio
475;76.800;Chevrolet;Prisma;2018;48.010;2018;SC;Xaxim;Vazio
476;67.900;Fiat;Cronos;1.3 Firefly Flex Drive Gsr;75.000;2019;SC;Areias - São José;Vazio
477;81.990;Volkswagen;Polo;Comfort. 200 Tsi 1.0 Flex 12v Aut.;44.000;2019;SC;Florianópolis;Vazio
478;64.990;Peugeot;208;Griffe 1.6 Flex 16v 5p Aut.;54.000;2017;SC;Florianópolis;Vazio
479;58.900;Volkswagen;Gol;1.6 Msi Totalflex 4p Manual;39.700;2019;SC;Jardim Atlântico - Florianópolis;Vazio
480;55.900;Volkswagen;Gol;1.0 12v Mpi Totalflex 4p Manual;36.000;2019;SC;Jardim Atlântico - Florianópolis;Vazio
481;73.990;Peugeot;208;Peugeot 208 1.6 Griffe Automático;39.000;2018;SC;Líder - Chapecó;Vazio
482;78.990;Hyundai;Hb20s;Hyundai Hb20s 1.6 Premium Automático;38.000;2018;SC;Líder - Chapecó;Vazio
483;67.900;Hyundai;Hb20s;Confort Plus;73.964;2019;SC;Trindade - Florianópolis;Vazio
484;77.900;Honda;City;1.5 Lx Automatico;69.650;2017;SC;Florianópolis;Vazio
485;62.900;Volkswagen;Gol;1.6 Msi Total Flex 5p;51.000;2021;SC;Ibirama;Vazio
486;89.990;Honda;Wr-v;Wr-v Ex 1.5 Flexone 16v 5p Aut.;71.000;2018;SC;Roçado - São José;Vazio
487;65.900;Hyundai;Hb20s;Comfort Style 1.0 Turbo;88.200;2017;SC;Blumenau;Vazio
488;82.900;Chevrolet;Tracker;Ltz 1.8 Aut.;53.000;2015;SC;Salto Norte - Blumenau;Vazio
489;89.790;Fiat;Strada;1.8 Adventure Cd;33.778;2019;SC;Palhoça;Vazio
490;66.900;Chery;Tiggo;2 1.5 Mpfi 16v Flex Look 4p Manual;55.700;2019;SC;Jardim Atlântico - Florianópolis;Vazio
491;68.990;Renault;Duster;Duster Dynamique 2.0 Flex 16v Aut.;84.000;2016;SC;Roçado - São José;Vazio
492;82.900;Jeep;Renegade;1.8 Flex Aut. 5p;32.000;2018;SC;Centro - Itajaí;Vazio
493;89.890;Suzuki;Vitara;Vitara 4you Allgrip 1.6 16v Aut.;105.299;2017;SC;Aririu - Palhoça;Vazio
494;72.900;Volkswagen;Saveiro;1.6 Msi Trendline Cs 8v Flex 2p Manual;62.000;2019;SC;Gaspar;Vazio
495;64.900;Ford;Ka;1.5 Ti-vct Flex Se Sedan Manual;62.900;2020;SC;Jardim Atlântico - Florianópolis;Vazio
496;68.900;Honda;Fit;1.5 Lx 16v Flex 4p Automático;67.000;2015;SC;Jardim Atlântico - Florianópolis;Vazio
497;89.990;Toyota;Yaris;1.5 Xs At;46.762;2020;SC;Palhoça;Vazio
498;61.900;Chevrolet;Cobalt;1.8 Mpfi Ltz 8v Flex 4p Automático;69.000;2016;SC;Jardim Atlântico - Florianópolis;Vazio
499;72.900;Chevrolet;Cruze;1.8 Lt 16v Flex 4p Automático;90.000;2016;SC;Kobrasol - São José;Vazio
500;61.900;Ford;Ecosport;1.6 16v Freestyle Flex 5p;58.900;2015;SC;Mina do Mato - Criciúma;Vazio
501;89.900;Suzuki;Jimny;1.3 4sport 4x4 16v Gasolina 2p Manual;47.000;2018;SC;Gaspar;Vazio
502;58.000;Chevrolet;Onix;1.0 Lt 5p;47.900;2018;SC;Xaxim;Vazio
503;58.500;Chevrolet;Prisma;1.0 Joy 4p;35.100;2019;SC;Xaxim;Vazio
504;89.900;Nissan;Kicks;Kicks S Direct 1.6 16v Flex 5p Aut.(pcd);52.000;2019;SC;Ponte do Imaruim - Palhoça;Vazio
505;89.990;Kia;Sportage;Ex 2.0 16v Flex Aut.;136.052;2016;SC;Florianópolis;Vazio
506;85.900;Chevrolet;Onix;Plus 1.0 Ltz Turbo 4p 6 Marchas;52.000;2021;SC;Ibirama;Vazio
507;89.900;Kia;Cerato;1.6 Sx Flex Aut. 4p;38.747;2019;SC;São João - Itajaí;Vazio
508;79.900;Chevrolet;Cruze;Sport 1.8 Ltz Ecotec Aut. 5p;96.432;2015;SC;São João - Itajaí;Vazio
509;84.900;Jeep;Renegade;1.8 Sport Flex Aut. 5p;30.000;2016;SC;Balneário Camboriú;Vazio
510;79.890;Honda;Civic;2.0 Lxr Flex Aut. 4p;80.000;2015;SC;Coqueiros - Florianópolis;Vazio
511;75.900;Chevrolet;Tracker;1.8 16v;77.000;2015;SC;Jardim Atlântico - Florianópolis;Vazio
512;72.700;Honda;Fit;Lx 1.5 Flexone 16v 5p Aut.;99.658;2015;SC;Aurora;Vazio
513;81.990;Renault;Duster;Dynamique Gopro 1.6 16v Sce Cvt X-tronic Flex;32.712;2020;SC;Joinville;Vazio
514;65.900;Honda;Fit;1.5 Lx 16v Flex 4p Automático;130.000;2015;SC;Kobrasol - São José;Vazio
515;79.900;Fiat;Strada;1.4 Mpi Freedom Cd 8v Flex 3p Manual;66.000;2019;SC;Areias - São José;Vazio
516;58.900;Ford;Ka;1.5 Ti-vct Flex Se Sedan Manual;51.355;2020;SC;Areias - São José;Vazio
517;62.990;Volkswagen;Fox;Xtreme 1.6 8v;18.000;2018;SC;Criciúma;Vazio
518;59.900;Hyundai;Hb20;Confort Plus;51.685;2019;SC;Florianópolis;Vazio
519;59.890;Volkswagen;Fox;Fox Connect 1.6 Flex 8v 5p;53.210;2019;SC;Aririu - Palhoça;Vazio
520;68.990;Ford;Ecosport;Ecosport Se 1.6 16v Flex 5p Aut.;55.000;2017;SC;Roçado - São José;Vazio
521;65.900;Peugeot;308;1.6 16v;40.487;2018;SC;Itapema;Vazio
522;64.990;Fiat;Strada;1.4 8v Cd;70.000;2015;SC;Içara;Vazio
523;66.900;Ford;Ecosport;2.0 Freestyle 4wd 16v Flex 4p Manual;63.000;2016;SC;Kobrasol - São José;Vazio
524;65.900;Honda;Fit;Fit 1.5 Lx Cvt (flex) Aut;155.768;2015;SC;Kobrasol - São José;Vazio
525;72.990;Renault;Duster;Oroch Duster Oroch 1.6 16v Expression (flex);120.126;2017;SC;Kobrasol - São José;Vazio
526;83.990;Jeep;Renegade;1.8 Longitude Automática;111.000;2016;SC;Líder - Chapecó;Vazio
527;79.900;Volkswagen;Polo;1.6 16v Msi Aut. 5p;45.000;2020;SC;Ibirama;Vazio
528;66.890;Fiat;Fiorino;Fiorino Furgão Work. Hard 1.4 Flex 8v 2p;103.450;2017;SC;Aririu - Palhoça;Vazio
529;59.900;Fiat;Strada;1.4 Mpi Hard Working Ce 8v Flex 2p Manual;73.600;2018;SC;Itoupavazinha - Blumenau;Vazio
530;72.890;Chery;Tiggo;2 Tiggo 2 Look 1.5 16v Flex Aut.5p;62.023;2019;SC;Aririu - Palhoça;Vazio
531;77.890;Hyundai;Hb20;1.6 Vision Flex;11.688;2021;SC;Kobrasol - São José;Vazio
532;76.890;Peugeot;2008;Allure 1.6 Aut.;71.339;2019;SC;Kobrasol - São José;Vazio
533;57.990;Hyundai;Hb20;Hyundai Hb 20 Unique 1.0 2018/2019;36.000;2019;SC;Santa Mônica - Florianópolis;Vazio
534;79.990;Honda;Fit;Honda Fit Ex Cvt 2016/2017;460.000;2017;SC;Santa Mônica - Florianópolis;Vazio
535;55.990;Hyundai;Hb20;Hyundai Hb20 Unique 1.0;36.000;2019;SC;Barreiros - São José;Vazio
536;76.990;Honda;Fit;Honda Fit Ex Cvt;460.000;2017;SC;Barreiros - São José;Vazio
537;57.990;Hyundai;Hb20;1.0 Unique 12v Flex 4p Manual;50.000;2019;SC;São Vicente - Itajaí;Vazio
538;57.990;Chevrolet;Onix;Gm Onix Joy 1.0 2019/2020;40.000;2020;SC;Santa Mônica - Florianópolis;Vazio
539;63.800;Toyota;Etios;1.5 16v Platinum Aut. 4p;80.000;2017;SC;Ságuaçu - Joinville;Vazio
540;59.990;Chevrolet;Onix;Chevrolet Onix 1.0 Joy Manual;49.000;2020;SC;Líder - Chapecó;Vazio
541;64.900;Honda;Fit;1.5 Lx Flex Aut. 5p;125.000;2015;SC;Centro - Blumenau;Vazio
542;70.990;Honda;Fit;1.5 Lx Flex Aut. 5p;90.000;2016;SC;Itoupava Norte - Blumenau;Vazio
543;77.900;Fiat;Strada;1.8 Mpi Adventure Cd 16v Flex 3p Manual;81.000;2016;SC;Itoupavazinha - Blumenau;Vazio
544;57.900;Volkswagen;Voyage;1.6 Msi Totalflex 4p Manual;46.000;2019;SC;Itoupavazinha - Blumenau;Vazio
545;88.990;Chevrolet;Cobalt;Ltz 1.8 Automático;50.000;2020;SC;Brusque;Vazio
546;70.900;Fiat;Strada;1.8 Mpi Adventure Cd 16v Flex 3p Manual;113.000;2015;SC;Guaramirim;Vazio
547;55.900;Hyundai;Tucson;2.0 Gls 4x2 Flex Aut. 5p;55.000;2016;SC;Boehmerwald - Joinville;Vazio
548;79.900;Fiat;Fiorino;1.4 Hard Working Flex 4p;36.000;2020;SC;São João - Itajaí;Vazio
549;71.990;Honda;City;1.5 Ex Flex Aut. 4p;110.000;2015;SC;Itoupava Norte - Blumenau;Vazio
550;71.900;Fiat;Strada;1.4 Hard Working Flex 2p;71.000;2020;SC;Ibirama;Vazio
551;61.890;Ford;Ka;1.5 Sedan Se;52.571;2019;SC;São José;Vazio
